Input data:
(0,1)
(2,3)
(4,5)
(6,7)
(8,9)
(10,11)
(12,13)
(14,15)
(16,17)
(18,19)
(20,21)
(22,23)
(24,25)
(26,27)
(28,29)
(30,31)
(32,33)
(34,35)
(36,37)
(38,39)
(40,41)
(42,43)
(44,45)
(46,47)
(48,49)
(50,51)
(52,53)
(54,55)
(56,57)
(58,59)
(60,61)
(62,63)
Result of transform:
(992,1024)
(-356.901,292.901)
(-192.875,128.875)
(-137.49,73.4899)
(-109.255,45.2548)
(-91.8678,27.8678)
(-79.8914,15.8914)
(-70.9921,6.99211)
(-64,-1.06581e-14)
(-58.2617,-5.73828)
(-53.3817,-10.6183)
(-49.1044,-14.8956)
(-45.2548,-18.7452)
(-41.7071,-22.2929)
(-38.3652,-25.6348)
(-35.1517,-28.8483)
(-32,-32)
(-28.8483,-35.1517)
(-25.6348,-38.3652)
(-22.2929,-41.7071)
(-18.7452,-45.2548)
(-14.8956,-49.1044)
(-10.6183,-53.3817)
(-5.73828,-58.2617)
(0,-64)
(6.99211,-70.9921)
(15.8914,-79.8914)
(27.8678,-91.8678)
(45.2548,-109.255)
(73.4899,-137.49)
(128.875,-192.875)
(292.901,-356.901)
Result of backward transform:
(3.55271e-15,1)
(2,3)
(4,5)
(6,7)
(8,9)
(10,11)
(12,13)
(14,15)
(16,17)
(18,19)
(20,21)
(22,23)
(24,25)
(26,27)
(28,29)
(30,31)
(32,33)
(34,35)
(36,37)
(38,39)
(40,41)
(42,43)
(44,45)
(46,47)
(48,49)
(50,51)
(52,53)
(54,55)
(56,57)
(58,59)
(60,61)
(62,63)
